genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.21622	Klebsiella pneumoniae strain EuSCAPE_IT050	Susceptible	AMR Panel
573.21623	Klebsiella pneumoniae strain EuSCAPE_IT057	Susceptible	AMR Panel
573.21624	Klebsiella pneumoniae strain EuSCAPE_IT056	Resistant	AMR Panel
573.21625	Klebsiella pneumoniae strain EuSCAPE_IT055	Susceptible	AMR Panel
573.21626	Klebsiella pneumoniae strain EuSCAPE_IT043	Susceptible	AMR Panel
573.21627	Klebsiella pneumoniae strain EuSCAPE_IT060	Resistant	AMR Panel
573.21628	Klebsiella pneumoniae strain EuSCAPE_IL038	Susceptible::Resistant	Computational Prediction
573.21629	Klebsiella pneumoniae strain EuSCAPE_IT058	Susceptible	AMR Panel
573.21630	Klebsiella pneumoniae strain EuSCAPE_IT059	Susceptible	AMR Panel
573.21631	Klebsiella pneumoniae strain EuSCAPE_IT064	Resistant	AMR Panel
573.21632	Klebsiella pneumoniae strain EuSCAPE_IT063	Susceptible	AMR Panel
573.21633	Klebsiella pneumoniae strain EuSCAPE_IT062	Susceptible	AMR Panel
573.21634	Klebsiella pneumoniae strain EuSCAPE_IT065	Susceptible	AMR Panel
573.21635	Klebsiella pneumoniae strain EuSCAPE_IT070	Resistant	AMR Panel
573.21636	Klebsiella pneumoniae strain EuSCAPE_IT066	Resistant	AMR Panel
573.21637	Klebsiella pneumoniae strain EuSCAPE_IT081	Susceptible	AMR Panel
573.21638	Klebsiella pneumoniae strain EuSCAPE_IT076	Susceptible	AMR Panel
573.21639	Klebsiella pneumoniae strain EuSCAPE_IT078	Susceptible	AMR Panel
573.21640	Klebsiella pneumoniae strain EuSCAPE_IT071	Resistant	AMR Panel
573.21641	Klebsiella pneumoniae strain EuSCAPE_IT068	Susceptible	AMR Panel
573.21642	Klebsiella pneumoniae strain EuSCAPE_IT080	Susceptible	AMR Panel
573.21643	Klebsiella pneumoniae strain EuSCAPE_IT072	Resistant	AMR Panel
573.21644	Klebsiella pneumoniae strain EuSCAPE_IT074	Resistant	AMR Panel
573.21645	Klebsiella pneumoniae strain EuSCAPE_IT082	Resistant	AMR Panel
573.21646	Klebsiella pneumoniae strain EuSCAPE_IT085	Resistant::Susceptible	Computational Prediction
573.21647	Klebsiella pneumoniae strain EuSCAPE_IT084	Susceptible	AMR Panel
573.21648	Klebsiella pneumoniae strain EuSCAPE_IT088	Resistant	AMR Panel
573.21649	Klebsiella pneumoniae strain EuSCAPE_IT086	Resistant	AMR Panel
573.21650	Klebsiella pneumoniae strain EuSCAPE_IL040	Susceptible	AMR Panel
573.21651	Klebsiella pneumoniae strain EuSCAPE_IT083	Resistant::Susceptible	Computational Prediction
573.21652	Klebsiella pneumoniae strain EuSCAPE_IL025	Susceptible	Computational Prediction
573.21653	Klebsiella pneumoniae strain EuSCAPE_IL044	Susceptible	AMR Panel
573.21654	Klebsiella pneumoniae strain EuSCAPE_IL041	Susceptible	AMR Panel
573.21655	Klebsiella pneumoniae strain EuSCAPE_IL048	Resistant	AMR Panel
573.21656	Klebsiella pneumoniae strain EuSCAPE_IL045	Susceptible::Resistant	Computational Prediction
573.21657	Klebsiella pneumoniae strain EuSCAPE_IL047	Susceptible::Resistant	Computational Prediction
573.21658	Klebsiella pneumoniae strain EuSCAPE_IL046	Susceptible	AMR Panel
573.21659	Klebsiella pneumoniae strain EuSCAPE_IL051	Resistant	AMR Panel
573.21660	Klebsiella pneumoniae strain EuSCAPE_IL049	Susceptible::Resistant	Computational Prediction
573.21661	Klebsiella pneumoniae strain EuSCAPE_IL050	Susceptible::Resistant	Computational Prediction
